,date,Chinawords,Italywords,USwords,Outbreakwords,twitter_number
0,2020-01-21,5,0,4,0,224
1,2020-01-22,199,0,57,45,28520
2,2020-01-23,1436,3,107,524,186460
3,2020-01-24,3207,0,487,1054,660769
4,2020-01-25,3558,2,448,1320,998717
5,2020-01-26,3802,1,708,1142,1356180
6,2020-01-27,3383,9,644,1095,989434
7,2020-01-28,4063,5,644,1202,875551
8,2020-01-29,7254,10,1082,1383,1979903
9,2020-01-30,7147,177,1299,1603,2358087
10,2020-01-31,6977,127,1356,1316,2145603
11,2020-02-01,2732,33,479,489,940959
12,2020-02-02,3018,13,431,466,1058172
13,2020-02-03,3113,12,533,633,1045023
14,2020-02-04,3414,8,575,669,1168053
15,2020-02-05,3010,7,555,575,1062568
16,2020-02-06,3739,11,573,714,1136920
17,2020-02-07,3129,17,525,573,1032614
18,2020-02-08,2937,8,436,455,969686
19,2020-02-09,3075,6,457,461,1000828
20,2020-02-10,3264,11,597,574,1076780
21,2020-02-11,2940,8,675,523,1109326
22,2020-02-12,2878,10,554,564,1052105
23,2020-02-13,3255,8,660,586,1121186
24,2020-02-14,3198,12,645,586,1033950
25,2020-02-15,2880,6,551,399,922857
26,2020-02-16,2565,13,472,386,938638
27,2020-02-17,3140,7,609,524,985045
28,2020-02-18,3251,5,547,516,1080332
29,2020-02-19,2821,4,501,443,959982
30,2020-02-20,3067,14,615,497,1043570
31,2020-02-21,2506,91,671,543,1074836
32,2020-02-22,1823,193,589,389,946039
33,2020-02-24,1514,344,541,521,886376
34,2020-02-25,1271,244,1065,465,962555
35,2020-02-26,1109,171,1320,458,1160877
36,2020-02-27,1138,107,1641,660,1163270
37,2020-02-28,2161,286,2531,942,2057115
38,2020-02-29,4219,558,5954,1788,3735380
39,2020-03-01,3236,474,3224,1305,2822686
40,2020-03-02,751,117,947,372,988049
41,2020-03-03,3088,497,3358,1824,3172658
42,2020-03-04,3140,755,2780,1696,3408778
43,2020-03-05,837,179,1022,466,1170131
44,2020-03-06,853,180,1268,491,1194625
45,2020-03-07,773,183,1234,421,1181183
46,2020-03-08,735,356,1297,423,1156984
47,2020-03-09,777,281,1310,455,1136076
48,2020-03-10,844,357,1081,433,1099542
49,2020-03-11,669,272,1013,394,1145287
50,2020-03-12,697,170,1151,271,1073823
51,2020-03-13,759,179,1243,291,1072390
52,2020-03-14,596,180,987,249,1099324
53,2020-03-15,499,228,990,229,1086235
54,2020-03-16,460,195,875,251,1033232
55,2020-03-17,833,105,918,220,1033019
56,2020-03-18,1130,107,877,208,913230
57,2020-03-19,1265,151,1074,275,1037389
58,2020-03-20,938,181,1015,241,1057868
59,2020-03-21,179,24,291,48,227480
60,2020-04-01,1012,98,1663,271,1143279
61,2020-04-02,888,67,1364,250,1084879
62,2020-04-03,821,66,1354,228,1059407
63,2020-04-04,984,103,1425,251,1079842
64,2020-04-05,912,78,1338,225,1081600
65,2020-04-06,781,82,1409,198,1064692
66,2020-04-07,935,78,1497,195,1076868
67,2020-04-08,1060,71,1389,232,1079790
68,2020-04-09,927,76,1245,220,1056400
69,2020-04-10,970,56,1185,206,995210
70,2020-04-11,918,97,1240,188,1047513
71,2020-04-12,927,68,1171,161,1044214
72,2020-04-13,1040,72,1452,188,1050159
73,2020-04-14,1060,45,1428,202,1039458
74,2020-04-15,1330,35,1592,220,1034828
75,2020-04-16,1280,60,1417,195,1041689
76,2020-04-17,883,28,1162,196,866468
77,2020-04-18,694,37,1286,178,985827
78,2020-04-19,680,40,1358,202,1028921
79,2020-04-20,582,42,1410,173,1052588
80,2020-04-21,448,50,1389,186,1051722
81,2020-04-22,514,35,1417,178,1054462
82,2020-04-23,502,29,1386,173,1048421
83,2020-04-24,409,37,1429,170,970964
84,2020-04-25,447,36,1319,138,1031749
85,2020-04-26,449,35,1150,136,1010264
86,2020-04-27,476,56,1176,178,1013370
87,2020-04-28,435,34,1200,150,977837
88,2020-04-29,423,34,1264,152,985501
89,2020-04-30,437,43,1196,160,954042
90,2020-05-01,421,23,1052,144,918735
